study_id,series_id,path,level_pred,pred_level,instance_number,z,dis
7143189,1951927562,/kaggle/temp/axial_all_images/7143189___1951927562___21.png,1,5,21,2,0.4954933060302693
7143189,1951927562,/kaggle/temp/axial_all_images/7143189___1951927562___16.png,1,4,16,7,1.3559495125863634
7143189,1951927562,/kaggle/temp/axial_all_images/7143189___1951927562___11.png,1,3,11,12,1.0424861157394965
7143189,1951927562,/kaggle/temp/axial_all_images/7143189___1951927562___6.png,1,2,6,17,0.4212827584046348
7143189,1951927562,/kaggle/temp/axial_all_images/7143189___1951927562___2.png,1,1,2,21,1.3341133137817476
44060036,2320605986,/kaggle/temp/axial_all_images/44060036___2320605986___12.png,1,5,12,3,2.189158051740371
44060036,2320605986,/kaggle/temp/axial_all_images/44060036___2320605986___8.png,1,4,8,7,0.8626442544421487
44060036,2320605986,/kaggle/temp/axial_all_images/44060036___2320605986___4.png,1,3,4,11,0.4985791664612904
44060036,3055212151,/kaggle/temp/axial_all_images/44060036___3055212151___18.png,1,3,18,1,2.4027054459768586
44060036,3055212151,/kaggle/temp/axial_all_images/44060036___3055212151___12.png,1,2,12,7,0.18984207384155916
44060036,3055212151,/kaggle/temp/axial_all_images/44060036___3055212151___7.png,1,1,7,12,0.10400940711752682
63725508,1069611138,/kaggle/temp/axial_all_images/63725508___1069611138___21.png,1,5,21,5,0.6211828278604745
63725508,1069611138,/kaggle/temp/axial_all_images/63725508___1069611138___14.png,1,4,14,12,0.863034167386262
63725508,1069611138,/kaggle/temp/axial_all_images/63725508___1069611138___6.png,1,3,6,20,0.0419414239048006
63725508,1069611138,/kaggle/temp/axial_all_images/63725508___1069611138___1.png,1,2,1,25,13.515498006764409
63725508,1389849895,/kaggle/temp/axial_all_images/63725508___1389849895___25.png,1,3,25,0,17.659243666971015
63725508,1389849895,/kaggle/temp/axial_all_images/63725508___1389849895___21.png,1,2,21,4,1.633065558294546
63725508,1389849895,/kaggle/temp/axial_all_images/63725508___1389849895___13.png,1,1,13,12,1.5261876574438222
74294498,3742439825,/kaggle/temp/axial_all_images/74294498___3742439825___46.png,1,5,46,3,1.4286429517036723
74294498,3742439825,/kaggle/temp/axial_all_images/74294498___3742439825___37.png,1,4,37,12,1.205800936542694
74294498,3742439825,/kaggle/temp/axial_all_images/74294498___3742439825___29.png,1,3,29,20,1.437612059348501
74294498,3742439825,/kaggle/temp/axial_all_images/74294498___3742439825___20.png,1,2,20,29,1.169914070717752
74294498,3742439825,/kaggle/temp/axial_all_images/74294498___3742439825___13.png,1,1,13,36,1.0608206392344801
74782131,3401861580,/kaggle/temp/axial_all_images/74782131___3401861580___30.png,1,5,30,12,1.1793985875007742
74782131,3401861580,/kaggle/temp/axial_all_images/74782131___3401861580___22.png,1,4,22,20,0.09467758311637642
74782131,3401861580,/kaggle/temp/axial_all_images/74782131___3401861580___14.png,1,3,14,28,1.5762797219228233
74782131,3401861580,/kaggle/temp/axial_all_images/74782131___3401861580___5.png,1,2,5,37,1.2412988259272222
76438935,2212277614,/kaggle/temp/axial_all_images/76438935___2212277614___25.png,1,5,25,8,1.5917867348023904
76438935,2212277614,/kaggle/temp/axial_all_images/76438935___2212277614___18.png,1,4,18,15,1.7931102963437153
76438935,2212277614,/kaggle/temp/axial_all_images/76438935___2212277614___13.png,1,3,13,20,2.0123457221157954
76438935,2212277614,/kaggle/temp/axial_all_images/76438935___2212277614___8.png,1,2,8,25,0.5782792770940315
76438935,2212277614,/kaggle/temp/axial_all_images/76438935___2212277614___3.png,1,1,3,30,0.7042731792331303
97086905,2413491771,/kaggle/temp/axial_all_images/97086905___2413491771___19.png,1,5,19,1,1.5183557886591643
97086905,2413491771,/kaggle/temp/axial_all_images/97086905___2413491771___14.png,1,4,14,6,1.4182779463992894
97086905,2413491771,/kaggle/temp/axial_all_images/97086905___2413491771___8.png,1,3,8,12,1.0548299052093473
97086905,2413491771,/kaggle/temp/axial_all_images/97086905___2413491771___4.png,1,2,4,16,1.8256094372373377
97634230,1763367570,/kaggle/temp/axial_all_images/97634230___1763367570___23.png,1,5,23,3,1.2285272588372749
97634230,1763367570,/kaggle/temp/axial_all_images/97634230___1763367570___18.png,1,4,18,8,2.0743839760728413
97634230,1763367570,/kaggle/temp/axial_all_images/97634230___1763367570___14.png,1,3,14,12,2.0306577877883907
97634230,1763367570,/kaggle/temp/axial_all_images/97634230___1763367570___8.png,1,2,8,18,1.5422969441400536
97634230,1763367570,/kaggle/temp/axial_all_images/97634230___1763367570___3.png,1,1,3,23,1.191279559805933
100206310,1012284084,/kaggle/temp/axial_all_images/100206310___1012284084___55.png,1,5,55,5,0.3767951029403065
100206310,1012284084,/kaggle/temp/axial_all_images/100206310___1012284084___46.png,1,4,46,14,1.2627729234178577
100206310,1012284084,/kaggle/temp/axial_all_images/100206310___1012284084___37.png,1,3,37,23,0.8434703523712881
100206310,1012284084,/kaggle/temp/axial_all_images/100206310___1012284084___28.png,1,2,28,32,1.5246260110229155
100206310,1012284084,/kaggle/temp/axial_all_images/100206310___1012284084___20.png,1,1,20,40,0.5787514892337207
107935613,729255173,/kaggle/temp/axial_all_images/107935613___729255173___21.png,1,5,21,1,1.6202836836497454
107935613,729255173,/kaggle/temp/axial_all_images/107935613___729255173___17.png,1,4,17,5,0.4463437395231775
107935613,729255173,/kaggle/temp/axial_all_images/107935613___729255173___12.png,1,3,12,10,0.07765834334027222
107935613,729255173,/kaggle/temp/axial_all_images/107935613___729255173___7.png,1,2,7,15,1.060788900975961
107935613,729255173,/kaggle/temp/axial_all_images/107935613___729255173___2.png,1,1,2,20,2.1683089631216745
109454808,294363523,/kaggle/temp/axial_all_images/109454808___294363523___14.png,1,5,14,11,0.5460339391009299
109454808,294363523,/kaggle/temp/axial_all_images/109454808___294363523___7.png,1,4,7,18,1.7289678559857578
109454808,294363523,/kaggle/temp/axial_all_images/109454808___294363523___1.png,1,3,1,24,3.8018447086932667
109454808,2149359622,/kaggle/temp/axial_all_images/109454808___2149359622___26.png,1,3,26,0,11.985187085941483
109454808,2149359622,/kaggle/temp/axial_all_images/109454808___2149359622___20.png,1,2,20,6,1.6921480685856487
109454808,2149359622,/kaggle/temp/axial_all_images/109454808___2149359622___12.png,1,1,12,14,1.9185778758663892
109454808,3763123999,/kaggle/temp/axial_all_images/109454808___3763123999___19.png,1,5,19,0,8.497688008562083
109454808,3763123999,/kaggle/temp/axial_all_images/109454808___3763123999___14.png,1,4,14,5,1.282564883989771
109454808,3763123999,/kaggle/temp/axial_all_images/109454808___3763123999___6.png,1,3,6,13,2.0242872801224774
109454808,3763123999,/kaggle/temp/axial_all_images/109454808___3763123999___1.png,1,2,1,18,12.013147694057842
113121178,560663154,/kaggle/temp/axial_all_images/113121178___560663154___26.png,1,3,26,2,0.23506326897401486
113121178,560663154,/kaggle/temp/axial_all_images/113121178___560663154___18.png,1,2,18,10,1.7964303382871076
